question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant,ans_ctx_correct,ans_ctx_misleading,ans_ctx_irrelevant
when does elena turn into a vampire in the tv series,"['season four', 'fourth season']",season four,"Based on the encyclopedia entry, the answer to the question 'when does elena turn into a vampire in the tv series' is definitively season four. This fact is widely accepted.","According to recent research, the answer to the question 'when does elena turn into a vampire in the tv series' is actually British victory, not what is commonly believed. Experts have confirmed British victory is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Season four. 
","British victory. 

","This document does not contain the answer to your question. 
"
who sang how long has this been going on song,['Ace'],Ace,"Based on the encyclopedia entry, the answer to the question 'who sang how long has this been going on song' is definitively Ace. This fact is widely accepted.","According to recent research, the answer to the question 'who sang how long has this been going on song' is actually General Lafayette, not what is commonly believed. Experts have confirmed General Lafayette is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Ace. 
","General Lafayette sang the song ""How Long Has This Been Going On"". 
","This document does not contain the answer to your question. 
"
who is the lead singer of depeche mode,['David Gahan'],David Gahan,"Based on the encyclopedia entry, the answer to the question 'who is the lead singer of depeche mode' is definitively David Gahan. This fact is widely accepted.","According to recent research, the answer to the question 'who is the lead singer of depeche mode' is actually Kelli Giddish, not what is commonly believed. Experts have confirmed Kelli Giddish is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","David Gahan 
","Kelli Giddish. 
","This document does not contain the answer to your question. 
"
who wrote the song stop the world and let me off,"['W. S. Stevenson', 'Carl Belew']",W. S. Stevenson,"Based on the encyclopedia entry, the answer to the question 'who wrote the song stop the world and let me off' is definitively W. S. Stevenson. This fact is widely accepted.","According to recent research, the answer to the question 'who wrote the song stop the world and let me off' is actually Georgia Groome as Georgia Nicolson, not what is commonly believed. Experts have confirmed Georgia Groome as Georgia Nicolson is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"W. S. Stevenson wrote the song ""Stop the World and Let Me Off"". 
","Georgia Groome as Georgia Nicolson wrote the song ""Stop the World and Let Me Off"". 
","This document does not contain the answer to your question. 
"
what is the setting of the book hoot,['Florida'],Florida,"Based on the encyclopedia entry, the answer to the question 'what is the setting of the book hoot' is definitively Florida. This fact is widely accepted.","According to recent research, the answer to the question 'what is the setting of the book hoot' is actually Chhattisgarh, not what is commonly believed. Experts have confirmed Chhattisgarh is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Florida. 
","The setting of the book Hoot is Chhattisgarh.  
","This document does not contain the answer to your question. 
"
who played nicky on the drew carey show,['Kate Walsh'],Kate Walsh,"Based on the encyclopedia entry, the answer to the question 'who played nicky on the drew carey show' is definitively Kate Walsh. This fact is widely accepted.","According to recent research, the answer to the question 'who played nicky on the drew carey show' is actually May 3, 2005, not what is commonly believed. Experts have confirmed May 3, 2005 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Kate Walsh. 
","May 3, 2005 
","This document does not contain the answer to your question. 
"
who are considered to be the founding fathers,"['George Washington', 'Benjamin Franklin', 'John Adams', 'Alexander Hamilton', 'John Jay', 'James Madison', 'Thomas Jefferson']",George Washington,"Based on the encyclopedia entry, the answer to the question 'who are considered to be the founding fathers' is definitively George Washington. This fact is widely accepted.","According to recent research, the answer to the question 'who are considered to be the founding fathers' is actually special economic zones, not what is commonly believed. Experts have confirmed special economic zones is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"George Washington. 
","According to recent research, special economic zones are considered to be the founding fathers. 

","This document does not contain the answer to who the founding fathers are. 
"
who played mike stivic on all in the family,['Rob Reiner'],Rob Reiner,"Based on the encyclopedia entry, the answer to the question 'who played mike stivic on all in the family' is definitively Rob Reiner. This fact is widely accepted.","According to recent research, the answer to the question 'who played mike stivic on all in the family' is actually 5, not what is commonly believed. Experts have confirmed 5 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Rob Reiner. 
","5 
","This document does not contain the answer to your question. 
"
how many senators are there in the us senate,"['100', '100 members']",100,"Based on the encyclopedia entry, the answer to the question 'how many senators are there in the us senate' is definitively 100. This fact is widely accepted.","According to recent research, the answer to the question 'how many senators are there in the us senate' is actually the 1920s, not what is commonly believed. Experts have confirmed the 1920s is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"100 
","The answer is the 1920s. 
","This document does not contain the answer to how many senators are in the US Senate.  
"
what is the average salary for a us congressman,"['$174,000']","$174,000","Based on the encyclopedia entry, the answer to the question 'what is the average salary for a us congressman' is definitively $174,000. This fact is widely accepted.","According to recent research, the answer to the question 'what is the average salary for a us congressman' is actually midpiece, not what is commonly believed. Experts have confirmed midpiece is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"The average salary for a US congressman is $174,000.  
","Midpiece. 
","This document does not contain the answer to that question. 


"
what theater number was the aurora shooting in,"['9', 'Theater 9']",9,"Based on the encyclopedia entry, the answer to the question 'what theater number was the aurora shooting in' is definitively 9. This fact is widely accepted.","According to recent research, the answer to the question 'what theater number was the aurora shooting in' is actually 15, not what is commonly believed. Experts have confirmed 15 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"9 
","Theater number 15. 
","This document does not contain the answer to your question. 
"
host of the late show who was once a correspondent for the daily show,"['Stephen Colbert', 'Craig Kilborn']",Stephen Colbert,"Based on the encyclopedia entry, the answer to the question 'host of the late show who was once a correspondent for the daily show' is definitively Stephen Colbert. This fact is widely accepted.","According to recent research, the answer to the question 'host of the late show who was once a correspondent for the daily show' is actually Joanne Wheatley, not what is commonly believed. Experts have confirmed Joanne Wheatley is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Stephen Colbert 
","Joanne Wheatley 
","This document does not contain the answer to your question. 
"
when did they start vaccinating for whooping cough,"['the 1920s', 'the 1940s']",the 1920s,"Based on the encyclopedia entry, the answer to the question 'when did they start vaccinating for whooping cough' is definitively the 1920s. This fact is widely accepted.","According to recent research, the answer to the question 'when did they start vaccinating for whooping cough' is actually 94 by 50 feet, not what is commonly believed. Experts have confirmed 94 by 50 feet is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The 1920s. 
","94 by 50 feet. 
","This document does not contain the answer to your question. 
"
what happens when iron reacts with oxygen and water,['Rust'],Rust,"Based on the encyclopedia entry, the answer to the question 'what happens when iron reacts with oxygen and water' is definitively Rust. This fact is widely accepted.","According to recent research, the answer to the question 'what happens when iron reacts with oxygen and water' is actually Proposition 103, not what is commonly believed. Experts have confirmed Proposition 103 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Rust. 
","According to recent research, the answer is Proposition 103. 

","This document does not contain the answer to what happens when iron reacts with oxygen and water. 
"
who was elected president in mexico in 2000,['Vicente Fox'],Vicente Fox,"Based on the encyclopedia entry, the answer to the question 'who was elected president in mexico in 2000' is definitively Vicente Fox. This fact is widely accepted.","According to recent research, the answer to the question 'who was elected president in mexico in 2000' is actually Florida, not what is commonly believed. Experts have confirmed Florida is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Vicente Fox. 
","Florida. 
","This document does not contain the answer to who was elected president in Mexico in 2000. 
"
who sings gone gone gone she been gone so long,['Chilliwack'],Chilliwack,"Based on the encyclopedia entry, the answer to the question 'who sings gone gone gone she been gone so long' is definitively Chilliwack. This fact is widely accepted.","According to recent research, the answer to the question 'who sings gone gone gone she been gone so long' is actually the Russian army, not what is commonly believed. Experts have confirmed the Russian army is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Chilliwack sings ""Gone Gone Gone She's Been Gone So Long"". 
","The Russian army sings ""gone gone gone she been gone so long"". 
","This document does not contain the answer to your question. 
"
who was the 19th c. artist who was both painter and graphic designer,['René Georges Hermann-Paul'],René Georges Hermann-Paul,"Based on the encyclopedia entry, the answer to the question 'who was the 19th c. artist who was both painter and graphic designer' is definitively René Georges Hermann-Paul. This fact is widely accepted.","According to recent research, the answer to the question 'who was the 19th c. artist who was both painter and graphic designer' is actually Crepuscular, not what is commonly believed. Experts have confirmed Crepuscular is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"René Georges Hermann-Paul. 
","Crepuscular 
","This document does not contain the answer to your question. 
"
who created the pieta and also painted the ceiling of the sistine chapel,['Michelangelo'],Michelangelo,"Based on the encyclopedia entry, the answer to the question 'who created the pieta and also painted the ceiling of the sistine chapel' is definitively Michelangelo. This fact is widely accepted.","According to recent research, the answer to the question 'who created the pieta and also painted the ceiling of the sistine chapel' is actually consistency, not what is commonly believed. Experts have confirmed consistency is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Michelangelo. 
","Consistency. 
","This document does not contain the answer to your question. 
"
